series_code,year,event,circuit_name,session,session_id,car,class,driver_name,driver_id,lap,stint_number,stint_lap,lap_time,lap_time_s1,lap_time_s2,lap_time_s3,pit_time,flags,est_tire_age,air_temp_f,track_temp_f,humidity_percent,raining,race_duration_minutes
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,1,1.0,0,110.877,27.958,48.605,34.314,,GF,0,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,2,1.0,1,109.58,27.845,47.549,34.186,,GF,0,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,3,1.0,2,109.304,27.724,47.442,34.138,,GF,1,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,4,1.0,3,109.402,27.684,47.467,34.251,,GF,2,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,5,1.0,4,108.9,27.657,47.237,34.006,,GF,3,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,6,1.0,5,109.345,27.694,47.447,34.204,,GF,4,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,7,1.0,6,109.06,27.526,47.311,34.223,,GF,5,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,8,1.0,7,109.889,27.668,47.794,34.427,,GF,6,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,9,1.0,8,110.492,28.458,47.583,34.451,,GF,7,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,10,1.0,9,112.55,28.524,49.541,34.485,,GF,8,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,11,1.0,10,110.107,27.877,48.002,34.228,,GF,9,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,12,1.0,11,111.74,27.916,49.131,34.693,,GF,10,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,13,1.0,12,111.902,28.93,48.469,34.503,,GF,11,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,14,1.0,13,111.575,28.058,49.024,34.493,,GF,12,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,15,1.0,14,111.735,28.603,48.483,34.649,,GF,13,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,16,1.0,15,110.055,27.997,47.707,34.351,,GF,14,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,17,1.0,16,110.209,27.918,47.961,34.33,,GF,15,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,18,1.0,17,111.513,27.825,49.058,34.63,,GF,16,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,19,1.0,18,111.694,29.024,48.195,34.475,,GF,17,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,20,1.0,19,116.087,27.972,48.691,39.424,,GF,18,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,21,1.0,20,177.453,92.904,50.002,34.547,71.977,GF,0,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,22,1.0,21,112.397,28.841,48.936,34.62,,GF,0,,,,,242
elms,2023,Aragon,Motorland Aragon,race,237,22,LMP2,Phil Hanson,phil hanson,23,1.0,22,112.013,28.371,48.978,34.664,,GF,1,,,,,242
